Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","706","Somalia","5610","Import quantity","0111","Wheat","2022","2022","t","133873.01","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","706","Somalia","5610","Import quantity","0111","Wheat","2023","2023","t","2215.41","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","706","Somalia","5610","Import quantity","0111","Wheat","2024","2024","t","4586","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0113","Rice","2015","2015","t","35305.72","A","Official value",""
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0113","Rice","2016","2016","t","32730.08","A","Official value",""
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0113","Rice","2017","2017","t","39052.99","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0113","Rice","2018","2018","t","23414.12","A","Official value",""
"TCL","Crops and livestock products","729","Sudan","5910","Export quantity","0113","Rice","2018","2018","t","624.74","A","Official value",""
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0113","Rice","2020","2020","t","59.11","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0113","Rice","2021","2021","t","0.2","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0113","Rice","2022","2022","t","93.02","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0113","Rice","2023","2023","t","9.53","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0113","Rice","2024","2024","t","4.4","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0111","Wheat","2015","2015","t","1209978","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0111","Wheat","2016","2016","t","1168081.04","A","Official value",""
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0111","Wheat","2017","2017","t","2167847","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0111","Wheat","2018","2018","t","1502272.91","A","Official value",""
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0111","Wheat","2019","2019","t","2273975.58","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0111","Wheat","2020","2020","t","2429207.55","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0111","Wheat","2021","2021","t","1857269.94","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0111","Wheat","2022","2022","t","1440309.56","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0111","Wheat","2023","2023","t","331998.54","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","729","Sudan","5610","Import quantity","0111","Wheat","2024","2024","t","93730","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","788","Tunisia","5610","Import quantity","0113","Rice","2015","2015","t","3.43","A","Official value",""
"TCL","Crops and livestock products","788","Tunisia","5610","Import quantity","0113","Rice","2016","2016","t","0.72","A","Official value",""
"TCL","Crops and livestock products","788","Tunisia","5610","Import quantity","0113","Rice","2017","2017","t","0.03","A","Official value",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","0113","Rice","2024","2024","t","0","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","788","Tunisia","5610","Import quantity","0111","Wheat","2015","2015","t","1953860.13","A","Official value",""
"TCL","Crops and livestock products","788","Tunisia","5610","Import quantity","0111","Wheat","2016","2016","t","2141804.6","A","Official value",""
"TCL","Crops and livestock products","788","Tunisia","5610","Import quantity","0111","Wheat","2017","2017","t","1948123.46","A","Official value",""
"TCL","Crops and livestock products","788","Tunisia","5610","Import quantity","0111","Wheat","2018","2018","t","1982361.93","A","Official value",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","0111","Wheat","2018","2018","t","2620","A","Official value",""
"TCL","Crops and livestock products","788","Tunisia","5610","Import quantity","0111","Wheat","2019","2019","t","1848993.46","A","Official value",""
"TCL","Crops and livestock products","788","Tunisia","5610","Import quantity","0111","Wheat","2020","2020","t","2237133.82","A","Official value",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","0111","Wheat","2020","2020","t","60","A","Official value",""
"TCL","Crops and livestock products","788","Tunisia","5610","Import quantity","0111","Wheat","2021","2021","t","1890731.5","A","Official value",""
"TCL","Crops and livestock products","788","Tunisia","5610","Import quantity","0111","Wheat","2022","2022","t","1891272.25","A","Official value",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","0111","Wheat","2022","2022","t","150","A","Official value",""
"TCL","Crops and livestock products","788","Tunisia","5610","Import quantity","0111","Wheat","2023","2023","t","2028923.1","A","Official value",""
"TCL","Crops and livestock products","788","Tunisia","5610","Import quantity","0111","Wheat","2024","2024","t","1397090.5","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","0111","Wheat","2024","2024","t","0.05","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0113","Rice","2015","2015","t","36603","A","Official value",""
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0113","Rice","2016","2016","t","20000","E","Estimated value",""
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0113","Rice","2017","2017","t","15000","E","Estimated value",""
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0113","Rice","2018","2018","t","56086.82","A","Official value",""
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0113","Rice","2019","2019","t","65509.07","A","Official value",""
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0113","Rice","2020","2020","t","50000","E","Estimated value",""
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0113","Rice","2021","2021","t","55000","E","Estimated value",""
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0113","Rice","2022","2022","t","56836","E","Estimated value",""
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0113","Rice","2023","2023","t","156.88","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0111","Wheat","2015","2015","t","2817211.27","A","Official value",""
"TCL","Crops and livestock products","887","Yemen","5910","Export quantity","0111","Wheat","2015","2015","t","278.12","A","Official value",""
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0111","Wheat","2016","2016","t","2785747.84","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","887","Yemen","5910","Export quantity","0111","Wheat","2016","2016","t","81.14","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0111","Wheat","2017","2017","t","3084596.77","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","887","Yemen","5910","Export quantity","0111","Wheat","2017","2017","t","1107.97","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0111","Wheat","2018","2018","t","3042313","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","887","Yemen","5910","Export quantity","0111","Wheat","2018","2018","t","10000","A","Official value",""
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0111","Wheat","2019","2019","t","1997801.2","A","Official value",""
"TCL","Crops and livestock products","887","Yemen","5910","Export quantity","0111","Wheat","2019","2019","t","108","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0111","Wheat","2020","2020","t","3044898.12","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","887","Yemen","5910","Export quantity","0111","Wheat","2020","2020","t","231","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0111","Wheat","2021","2021","t","3065072.1","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","887","Yemen","5910","Export quantity","0111","Wheat","2021","2021","t","783.16","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0111","Wheat","2022","2022","t","2853322.95","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","887","Yemen","5910","Export quantity","0111","Wheat","2022","2022","t","75.56","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0111","Wheat","2023","2023","t","1907403.23","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","887","Yemen","5910","Export quantity","0111","Wheat","2023","2023","t","100.92","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","887","Yemen","5610","Import quantity","0111","Wheat","2024","2024","t","2195225.6","X","Value from external organization","Estimated data using trading partners database"
